1. ID: 2 | Name: AIIMS, New Delhi | State: Delhi | Fees: 1628
163. ID: 213 | Name: Government Medical College, Idukki | State: Kerala | Fees: 32115
164. ID: 214 | Name: Sri Lalitha Bharati Ayurveda Government Medical College, Chennai | State: Haryana | Fees: 80000
165. ID: 215 | Name: Karnataka Institute of Medical Sciences, Hubli | State: Karnataka | Fees: 69290
166. ID: 216 | Name: Government Medical College, Wayanad | State: Kerala | Fees: 31715
167. ID: 217 | Name: S.S Medical College, Rewa | State: Madhya Pradesh | Fees: 119120
168. ID: 218 | Name: Government Medical College, Kathua | State: Jammu & Kashmir | Fees: 26250
169. ID: 219 | Name: Government Medical College, Sirohi Rajasthan | State: Rajasthan | Fees: 122630
170. ID: 220 | Name: Government Medical College, Dungarpur | State: Rajasthan | Fees: 165000
171. ID: 221 | Name: Vardhman Institute of Medical Sciences, Nalanda | State: Bihar | Fees: 40800
172. ID: 222 | Name: Government Medical College, Tirupur | State: Tamil Nadu | Fees: 18073
173. ID: 223 | Name: Chengalpattu Medical College, Chengalpattu | State: Tamil Nadu | Fees: 18073
174. ID: 224 | Name: ESIC Medical College and PGIMSR, Chennai | State: Tamil Nadu | Fees: 100000
175. ID: 225 | Name: SHKM GMC, Nalhar Mewat, Haryana | State: Haryana | Fees: 80000
176. ID: 226 | Name: Jawaharlal Nehru Medical College, Bhagalpur | State: Bihar | Fees: 40800
177. ID: 227 | Name: Rama Durgavati Medical College, Banda | State: Uttar Pradesh | Fees: 40800
178. ID: 228 | Name: Pt Jawahar Lal Nehru Government Medical College, Chamba | State: Himachal Pradesh | Fees: 60000
179. ID: 229 | Name: Government Medical College, Jhunjhunu Rajasthan | State: Rajasthan | Fees: 122630
180. ID: 230 | Name: Government Medical College, Haridwar | State: Uttarakhand | Fees: 17150
181. ID: 231 | Name: Atal Bihari Vajpayee Government Medical College, Vidisha | State: Madhya Pradesh | Fees: 132600
182. ID: 232 | Name: Government Vellore Medical College, Vellore | State: Tamil Nadu | Fees: 15473
183. ID: 233 | Name: MRA Medical College, Ambedkar Nagar UP | State: Uttar Pradesh | Fees: 36000
184. ID: 234 | Name: Government Medical College, Nashik | State: Maharashtra | Fees: 152100
185. ID: 235 | Name: Pt J.N.M Medical College, Raipur | State: Chhattisgarh | Fees: 5000
186. ID: 236 | Name: Government Medical College, Bundi | State: Rajasthan | Fees: 119280
187. ID: 237 | Name: Government Medical College, Dholpur | State: Rajasthan | Fees: 125246
188. ID: 238 | Name: Pt Neki Ram Sharma Government Medical College, Bhiwani | State: Haryana | Fees: 80000
189. ID: 239 | Name: Government Medical College, Hanumangarh | State: Rajasthan | Fees: 66990
190. ID: 241 | Name: Government Dharampuri Medical College, Dharampuri | State: Tamil Nadu | Fees: 18073
191. ID: 242 | Name: M.G.M Medical College, Jamshedpur | State: Jharkhand | Fees: 9130
192. ID: 243 | Name: Belgaum Institute of Medical Sciences, Belgaum | State: Karnataka | Fees: 76180
193. ID: 244 | Name: Government College, Nagar Bikaner Road, Nagaur | State: Rajasthan | Fees: 70340
194. ID: 245 | Name: Anugrah Narayan Magadh Medical College, Gaya | State: Bihar | Fees: 40800
195. ID: 246 | Name: Bundelkhand Medical College, Sagar | State: Madhya Pradesh | Fees: 114000
196. ID: 247 | Name: Mandya Institute of Medical Sciences, Mandya | State: Karnataka | Fees: 71000
197. ID: 248 | Name: Government College, Badau | State: Uttar Pradesh | Fees: 36000
198. ID: 249 | Name: Veer Chandra Singh Garhwali Government Institute of Medical Science & Research | State: Uttarakhand | Fees: 145000
199. ID: 250 | Name: Government Medical College, Faizabad | State: Uttar Pradesh | Fees: 36000
200. ID: 251 | Name: Autonomous State Medical College, Etah | State: Uttar Pradesh | Fees: 36000
201. ID: 252 | Name: ESIC PGIMSR, Joka, Kolkata, WB | State: West Bengal | Fees: 100000
202. ID: 253 | Name: Government Medical College, Sawai Madhopur | State: Rajasthan | Fees: 119280
203. ID: 254 | Name: GMC, Azamgarh, UP | State: Uttar Pradesh | Fees: 40800
204. ID: 255 | Name: Government Medical College, Thiruvallur | State: Tamil Nadu | Fees: 20003
205. ID: 256 | Name: Rajkiya Medical College, Jalun | State: Uttar Pradesh | Fees: 40800
206. ID: 257 | Name: Thoothukudi Medical College, Thoothukudi | State: Tamil Nadu | Fees: 18073
207. ID: 258 | Name: Government Medical College, Firozabad | State: Uttar Pradesh | Fees: 40800
208. ID: 259 | Name: Government Villupuram | State: Tamil Nadu | Fees: 18073
209. ID: 260 | Name: Government Medical College, Karur | State: Tamil Nadu | Fees: 18073
210. ID: 261 | Name: Surendranath Medical College & Hospital, Kolkata | State: West Bengal | Fees: 6500
211. ID: 262 | Name: NEIGRIHMS, Shillong | State: Meghalaya | Fees: 47600
212. ID: 263 | Name: Government Medical College, Nigris | State: Tamil Nadu | Fees: 18073
213. ID: 264 | Name: Government Medical College, Mahaja Government Medical College, Kolhapur | State: Maharashtra | Fees: 166100
214. ID: 265 | Name: Sri Jagannath Medical College & Hospital, Puri | State: Odisha | Fees: 37950
215. ID: 266 | Name: Government Medical College, Koriwara | State: Rajasthan | Fees: 119280
216. ID: 267 | Name: Maharishi Chyawan Medical College, Koriwara | State: Haryana | Fees: 80000
217. ID: 268 | Name: MGM Institute of Medical Sciences, Sewagram Wardha | State: Maharashtra | Fees: 46140
218. ID: 269 | Name: Chhattisgarh Institute of Medical Sciences, Bilaspur | State: Chhattisgarh | Fees: 50000
219. ID: 270 | Name: Government Medical College, Kasaragod Kerala | State: Kerala | Fees: 31715
220. ID: 271 | Name: Government College Shivpuri | State: Madhya Pradesh | Fees: 130000
221. ID: 272 | Name: Maharshi Devraha Baba Autonomous State Medical College, Deoria | State: Uttar Pradesh | Fees: 36000
222. ID: 273 | Name: Government Medical College, Banswara | State: Rajasthan | Fees: 119280
223. ID: 274 | Name: Government Medical College, Tonk | State: Rajasthan | Fees: 125246
224. ID: 275 | Name: Sundarlal Patwa Government Medical College, Mandsaur | State: Madhya Pradesh | Fees: 114000
225. ID: 276 | Name: Government Medical College, Baran | State: Rajasthan | Fees: 168000
226. ID: 277 | Name: Government Medical College, Virudhunagar | State: Tamil Nadu | Fees: 18073
227. ID: 278 | Name: Virendra Kumar Saklecha Government Medical College, Neemuch | State: Madhya Pradesh | Fees: 114000
228. ID: 279 | Name: Government Medical College, Bettiah | State: Bihar | Fees: 40800
229. ID: 280 | Name: Indira Gandhi Medical College & RI, Puducherry | State: Puducherry | Fees: 143700
230. ID: 281 | Name: Government Medical College, Jaisalmer | State: Rajasthan | Fees: 125246
231. ID: 282 | Name: Government Medical College, Purnea | State: Bihar | Fees: 40800
232. ID: 284 | Name: Government Medical College, Datia | State: Madhya Pradesh | Fees: 140000
233. ID: 285 | Name: Government Medical College, Khandwa | State: Madhya Pradesh | Fees: 100000
234. ID: 286 | Name: Siddhartha Medical College, Vijayawada | State: Andhra Pradesh | Fees: 25600
235. ID: 287 | Name: Dr V.R Shahyamapayam Memorial Medical College, Solapur | State: Maharashtra | Fees: 169150
236. ID: 288 | Name: Shahid Nirmal Mahto Medical College & Hospital, Dhanbad | State: Jharkhand | Fees: 85000
237. ID: 289 | Name: GMERS Medical College, Navsari | State: Gujarat | Fees: 75000
238. ID: 290 | Name: Soban Singh Jeena Government Institute of Medical Science & Research, Almora | State: Uttarakhand | Fees: 173000
239. ID: 291 | Name: Government Medical College, Chhindwara | State: Madhya Pradesh | Fees: 114000
240. ID: 292 | Name: Government Medical College and Hospital, Balasore | State: Odisha | Fees: 55450
241. ID: 293 | Name: Mahatma Vidur Autonomous State Medical College, Bijnor | State: Uttar Pradesh | Fees: 39600
242. ID: 294 | Name: Autonomous State Medical College, Fatehpur | State: Uttar Pradesh | Fees: 40800
243. ID: 295 | Name: Government Medical College, Bastar | State: Uttar Pradesh | Fees: 36000
244. ID: 296 | Name: Shimoga Institute of Medical Sciences, Shimoga | State: Karnataka | Fees: 85400
245. ID: 297 | Name: Dr S.C Government Medical College, Nanded | State: Maharashtra | Fees: 157570
246. ID: 298 | Name: Government Pudukkottai Medical College Hospital, Pudukkottai | State: Tamil Nadu | Fees: 18073
247. ID: 299 | Name: Burdwan Medical College, Burdwan | State: West Bengal | Fees: 9000
248. ID: 300 | Name: Autonomous State Medical College, Shahjahanpur | State: Uttar Pradesh | Fees: 36000
249. ID: 301 | Name: Autonomous State Medical College, Lalitpur | State: Uttar Pradesh | Fees: 40800
250. ID: 302 | Name: Government Medical College, Miraj | State: Maharashtra | Fees: 166100
251. ID: 303 | Name: Kakatiya Medical College, Warangal | State: Telangana | Fees: 9200
252. ID: 304 | Name: Government Medical College, Sheopur | State: Madhya Pradesh | Fees: 114000
253. ID: 305 | Name: Government Medical College, Dingal | State: Tamil Nadu | Fees: 18073
254. ID: 306 | Name: Hassan Institute of Medical Sciences, Hassan | State: Karnataka | Fees: 75000
255. ID: 307 | Name: Kurnool Medical College, Kurnool | State: Andhra Pradesh | Fees: 25600
256. ID: 308 | Name: Thiruvannamalai Medical College, Thiruvannamalai | State: Tamil Nadu | Fees: 18073
257. ID: 309 | Name: Government Medical College, Satna | State: Madhya Pradesh | Fees: 114000
258. ID: 310 | Name: ESIC Medical College & Hospital, Beltola, Guwahati | State: Assam | Fees: 100000
259. ID: 311 | Name: Government Medical College, Namakkal | State: Tamil Nadu | Fees: 18073
260. ID: 312 | Name: Autonomous State Medical College, Siddharthnagar | State: Uttar Pradesh | Fees: 36000
261. ID: 313 | Name: North Bengal Medical College, Darjeeling | State: West Bengal | Fees: 6500
262. ID: 314 | Name: Sri Venkateswara Medical College, Tirupati | State: Andhra Pradesh | Fees: 10600
263. ID: 315 | Name: Autonomous State Medical College, Pratapgarh | State: Uttar Pradesh | Fees: 36000
264. ID: 316 | Name: Government Medical College, Shahdol | State: Madhya Pradesh | Fees: 122000
265. ID: 317 | Name: Government Sivgangai Medical College, Sivagangai | State: Tamil Nadu | Fees: 18073
266. ID: 318 | Name: Government Medical College & Hospital, Jalgaon | State: Maharashtra | Fees: 152100
267. ID: 319 | Name: Government Medical College, Udhampur | State: Jammu & Kashmir | Fees: 27060
268. ID: 320 | Name: Autonomous State Medical College, Kanpur Dehat | State: Uttar Pradesh | Fees: 40800
269. ID: 321 | Name: University College of Medical Sciences, Jammu | State: Uttar Pradesh | Fees: 36000
270. ID: 322 | Name: Government Medical College, Akola | State: Maharashtra | Fees: 169900
271. ID: 323 | Name: Rajiv Gandhi Medical College, Amalapuram University | State: Tamil Nadu | Fees: 18100
272. ID: 324 | Name: Autonomous State Medical College, Pilibhit | State: Uttar Pradesh | Fees: 40800
273. ID: 325 | Name: Autonomous State Medical College, Sonbhadra | State: Uttar Pradesh | Fees: 40800
274. ID: 326 | Name: GTMC, Thiruvarur | State: Tamil Nadu | Fees: 18073
275. ID: 327 | Name: Government Medical College, Krishnagiri | State: Tamil Nadu | Fees: 18073
276. ID: 328 | Name: Government Medical College, Ariyalur | State: Tamil Nadu | Fees: 19823
277. ID: 330 | Name: Autonomous State Medical College, Mirzapur | State: Uttar Pradesh | Fees: 24000
278. ID: 331 | Name: Government Medical College, Soni Madhya Pradesh | State: Madhya Pradesh | Fees: 114000
279. ID: 332 | Name: Government Medical College, Rajnandgaon | State: Chhattisgarh | Fees: 50000
280. ID: 333 | Name: Bharat Government Medical College & Hospital, West Bengal | State: West Bengal | Fees: 6644
281. ID: 334 | Name: Autonomous State Medical College, Ghazipur | State: Uttar Pradesh | Fees: 36000
282. ID: 335 | Name: Autonomous State Medical College, Amethi | State: Uttar Pradesh | Fees: 36000
283. ID: 336 | Name: Government Medical College, Ambarnath | State: Maharashtra | Fees: 170756
284. ID: 337 | Name: Autonomous State Medical College, Sultanpur | State: Uttar Pradesh | Fees: 36000
285. ID: 338 | Name: Gulbarga Institute of Medical Sciences, Gulbarga | State: Karnataka | Fees: 82950
286. ID: 339 | Name: College of Medicine and JNM Hospital, Kalyani | State: West Bengal | Fees: 8500
287. ID: 340 | Name: Jawaharlal Nehru Medical College and Hospital, Madhopur | State: Bihar | Fees: 40800
288. ID: 341 | Name: ACSR Government Medical College, Nellore | State: Andhra Pradesh | Fees: 25600
289. ID: 342 | Name: Kodagu Institute of Medical Sciences, Kodagu | State: Karnataka | Fees: 82650
290. ID: 343 | Name: Autonomous State Medical College, Lakhimpur Kheri | State: Uttar Pradesh | Fees: 36000
291. ID: 344 | Name: Rangaraya Medical College, Kakinada | State: Andhra Pradesh | Fees: 25600
292. ID: 345 | Name: Shri Bhausaheb Hire Government Medical College, Dhule | State: Maharashtra | Fees: 165760
